Breed,Location of origin,Type,Body type,Coat type and length,Coat pattern
Abyssinian,"Unspecified, but somewhere in Afro-Asia, likely Ethiopia",Natural,Semi-foreign,Short,Ticked tabby
Aegean,Greece,Natural,Moderate,Semi-long,Multi-color
American Bobtail,United States,Mutation,Cobby,Semi-long,All
American Curl,United States,Mutation,Semi-foreign,Semi-long,All
American Ringtail,United States,Mutation,Foreign,Semi-long,All
American Shorthair,United States,Natural,Cobby,Short,All
American Wirehair,United States,Mutation,Normal,Rex,All
Aphrodite Giant,Cyprus,Natural,Lean and muscular,All,All
Arabian Mau,the Arabian Peninsula,Natural,Moderate and muscular,Short,All
Asian,"Developed in United Kingdom;
foundation stock from Asia",Natural,Moderate,Short,Evenly solid
Asian Semi-longhair,United Kingdom,Crossbreed between the Burmese and long-haired cats,Cobby,Semi-long,Evenly solid
Australian Mist,Australia,Crossbreed between the Abyssinian and Burmese,Moderate,Short,Spotted or marbled
Balinese,"Developed in United States;
foundation stock from Thailand",Mutation of the Siamese,Semi-foreign,Long,Colorpoint
Bambino,United States,Crossbreed between the Munchkin and Sphynx,Dwarf,Rex,
Bengal,"Developed in United States,
but created in Asia",Hybrid of the Abyssinian and Egyptian Mau × leopard cat (Prionailurus bengalensis),Large,Short,"Spotted, marbled, or rosetted"
Birman,"Developed in France;
foundation stock from Burma (Myanmar)",The original Birman was crossed with the Siamese and the Persian to create the Birman of today.,Cobby,Semi-long,Mitted colorpoint
Bombay,United States and Burma (Myanmar),Crossbreed between the Black American Shorthair and Sable Burmese,Cobby,Short,Solid black
Brazilian Shorthair,Brazil,Natural,Normal,Short,All
British Longhair,England,Natural,Cobby,Semi-long,All
British Shorthair,England,Natural,Cobby,Short,All
Burmese,Burma (Myanmar),Natural,Semi-foreign or semi-cobby,Short,Solid or Tortoiseshell
Burmilla,England,Crossbreed between the Brown Tortie Burmese and the Chinchilla Persian,Semi-cobby,Short,Solid with Shaded Silver and Silver Tipped patterns
California Spangled,United States,"Crossbreed between the Abyssinian, American Shorthair and British Shorthair",Moderate,Short,Spotted tabby
Chantilly-Tiffany,United States,Natural,Cobby,Long,"Solid, classic tabby, spotted tabby and ticked tabby"
Chartreux,France,Natural,Muscular; cobby,Short,Comes in varying shades of blue
Chausie,United States,Hybrid of the Abyssinian × jungle cat (Felis chaus),Normal,Short,"Solid black, black grizzled tabby and black ticked tabby"
Colorpoint Shorthair,"England, United Kingdom","Crossbreed between the Abyssinian, Siamese and short-haired cats",Foreign,Short,Colorpoint
Cornish Rex,"Cornwall, England, United Kingdom",Mutation,Foreign,Rex,All
"Cymric, Manx Longhair or Long-haired Manx","the Isle of Man, United States, and Canada",Mutation of the Manx,Semi-cobby,Long,All
Cyprus,Cyprus,Natural,Lean and muscular,All,All
Devon Rex,"Buckfastleigh, Devon, England, United Kingdom",Mutation,Semi-foreign,Rex,All
"Donskoy or
Don Sphynx",Russia,Mutation,Semi-foreign,Hairless,Solid
"Dragon Li or
Chinese Li Hua",China,Natural,Normal,Short,Ticked tabby
Dwelf,United States,"Crossbreed between the American Curl, Munchkin and Sphynx",Dwarf,Hairless,All
Egyptian Mau,Egypt,Natural,Moderate and muscular,Short,Spotted tabby
European Shorthair,Continental Europe,Natural,Moderate,Short,All
Exotic Shorthair,United States,Crossbreed between the American Shorthair and Persian,Cobby,Short,All
